YEAR,MONTH,DISTRIBUTOR,AREA,RETAILER NAME (R1),ADDRESS R1,REGENCY/DISTRICT,PRODUCT,JENIS PESTISIDA,PACKAGING,VOLUME (L/KG)
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,RAFFA TANI (JUNED),"Tirtayasa, Serang",SERANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,YANI TANI (BPK TARYA),"Bojen, Pandeglang",PANDEGLANG,EMARVEL 100/50 SC,Insektisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,ET-PRORISO 10/50 OD,Herbisida,200 ML,6.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,100 ML,2.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,1.3 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MULTI PRIMA TANI (BPK HERMAN),"Wanasalam, Pandeglang Selatan",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,GILANG TANI (BPK KHOMAR),"Cigeulis, Pandeglang",PANDEGLANG,ET-UPSTAR 480 SL,Herbisida,1 L,20.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MEGA TANIA (SATIBI),"Pontang, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,25 GR,1.3 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MEGA TANIA (SATIBI),"Pontang, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Herbisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,RAGAM JAYA TANI (NUPUS),Cilegon,CILEGON,ET-PRORISO 10/50 OD,Herbisida,200 ML,2.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,HERI PUTRA (H. USMAN),"Sobang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,1 L,20.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZONA TANI (BPK ASEP),Bogor,BOGOR,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PD PRIBUMI (TEH ENOK),"Picung, Pandeglang Selatan",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,RESEP TANI (BPK YAYAN),"Labuan, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MINI JAYA TANI (BPK TARMIN),"Bojen, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,15.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ANGGITA JAYA (BPK SURYONO),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,15.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,YANI TANI (BPK TARYA),"Bojen, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRI BUNGSU TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRI BUNGSU TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,1.3 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRI BUNGSU TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,15.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,AEP TANI (AEF),"Cariu, Bogor",BOGOR,EMARVEL 100/50 SC,Insektisida,100 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,RAFFA TANI (JUNED),"Tirtayasa, Serang",SERANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,DADAN TANI (BPK DADAN),Subang,SUBANG,AVJUNSU 18 EC,Insektisida,1 L,100.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,GAHU MEKAR (BPK DONI),"Bojong, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,MULTI PRIMA TANI (BPK HERMAN),"Wanasalam, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,BALTIKO 68/2 WP,Insektisida,100 GR,20.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,20.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,0.8 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZONA TANI (BPK ASEP),Bogor,BOGOR,EMARVEL 100/50 SC,Insektisida,100 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZONA TANI (BPK ASEP),Bogor,BOGOR,EMARVEL 100/50 SC,Insektisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BERKAH JAYA TANI (BPK ENDANG),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ASLI TANI (BPK BUDI),Cilegon,CILEGON,EMARVEL 100/50 SC,Insektisida,100 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ASLI TANI (BPK BUDI),Cilegon,CILEGON,EMARVEL 100/50 SC,Insektisida,250 ML,5.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,ASLI TANI (BPK BUDI),Cilegon,CILEGON,ET-PRORICE 400 SC,Herbisida,100 ML,10.0 
2023,01.JAN,CV. Aneka Jaya Tunas Agro,WEST JAVA,LINGGA JAYA (BPK AMARUDIN),"Rajeg, Tangerang",TANGERANG,AVJUNSU 18 EC,Insektisida,1 L,20.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,HERI PUTRA (H. USMAN),"Sobang, Pandeglang",PANDEGLANG,KINGBOSS 20 SG,Insektisida,100 GR,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZONA TANI (BPK ASEP),Bogor,BOGOR,EMARVEL 100/50 SC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,0.5 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,4.2 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,YANI TANI (BPK TARYA),"Bojen, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,LEBAK TANI (BPK BEDOD),"Kresek, Tangerang",TANGERANG,BALTIKO 68/2 WP,Insektisida,100 GR,6.4 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,LEBAK TANI (BPK BEDOD),"Kresek, Tangerang",TANGERANG,TRAVERSA 20/60 WG,Insektisida,25 GR,4.3 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,JAYA TANI (H. SUTARA),"Sobang, Pandeglang",PANDEGLANG,KINGBOSS 20 SG,Insektisida,100 GR,2.5 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,EMARVEL 100/50 SC,Insektisida,100 ML,1.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SINAR TANI (H. SAMAN),"Citeureup, Pandeglang",PANDEGLANG,EMARVEL 100/50 SC,Insektisida,250 ML,11.3 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,GILANG TANI (BPK KHOMAR),"Cigeulis, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,GILANG TANI (BPK KHOMAR),"Cigeulis, Pandeglang",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,0.3 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,BINA TANI (RIFKI),"Sawah Luhur, Serang",SERANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,MINI JAYA TANI (BPK TARMIN),"Bojen, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRI BUNGSU TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,1.3 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SURYA TANI (JOY),"Kronjo, Tangerang",TANGERANG,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,MASTANI (SONNY),Serang,SERANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SUMBER TANI AGUNG (BPK EMAN),"Munjul, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SUMBER TANI AGUNG (BPK EMAN),"Munjul, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,BERKAH TANI (DEDE),"Citeureup, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,1.3 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,HIRZI TANI JAYA (BPK KOSIM),"Kronjo, Tangerang",TANGERANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,HIRZI TANI JAYA (BPK KOSIM),"Kronjo, Tangerang",TANGERANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,1 L,30.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,MASTANI (SONNY),Serang,SERANG,AVJUNSU 18 EC,Insektisida,1 L,30.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,BERKAH TANI (BPK NURDIN),"Kronjo, Tangerang",TANGERANG,ADORE 200 SC,Fungisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,BERKAH TANI (BPK NURDIN),"Kronjo, Tangerang",TANGERANG,EMARVEL 100/50 SC,Insektisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,ANGGITA JAYA (BPK SURYONO),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,TEGUH RIZKY (BPK TEGUH),"Bayah, Lebak",LEBAK,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK YANI),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,30.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,TINA TANI (ACE),"Kebandungan, Sukabumi",SUKABUMI,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RAFFA TANI (JUNED),"Tirtayasa, Serang",SERANG,TRAVERSA 20/60 WG,Insektisida,100 GR,2.1 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,ZAKI TANI (BPK DEDEN),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,50.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,MEGA JAYA (H. AGUS),"Wanasalam, Pandeglang Selatan",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,25 GR,1.3 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SARANA TANI (DAYAT),"Teluk Naga, Tangerang",TANGERANG,AVJUNSU 18 EC,Insektisida,1 L,30.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,250 ML,2.5 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SAHABAT TANI (H. UDIN),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,TRAVERSA 20/60 WG,Insektisida,100 GR,2.7 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RIDWAN TANI (BPK PARMAN),"Pagelaran, Pandeglang",PANDEGLANG,BALTIKO 68/2 WP,Insektisida,100 GR,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RIDWAN TANI (BPK PARMAN),"Pagelaran, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RAGAM JAYA TANI (NUPUS),Cilegon,CILEGON,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RAGAM JAYA TANI (NUPUS),Cilegon,CILEGON,AVJUNSU 18 EC,Insektisida,1 L,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,EKAWATI TANI (BPK WANDI),"Mauk, Tangerang",TANGERANG,ET-UPSTAR 480 SL,Herbisida,1 L,20.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK YANI),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,PUTRA TANI (BPK YANI),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,50.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RUKUN TANI (HJ. IIM),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,RUKUN TANI (HJ. IIM),"Ciruas, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,20.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AILA TANI (BPK MAKMUR),"Pontang, Serang",SERANG,AVJUNSU 18 EC,Insektisida,250 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AILA TANI (BPK MAKMUR),"Pontang, Serang",SERANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AILA TANI (BPK MAKMUR),"Pontang, Serang",SERANG,AVJUNSU 18 EC,Insektisida,1 L,70.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,EMARVEL 100/50 SC,Insektisida,100 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,SRI MULYA TANI (BPK TARNO),"Cikeusik, Pandeglang Selatan",PANDEGLANG,EMARVEL 100/50 SC,Insektisida,250 ML,5.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,HERI PUTRA (H. USMAN),"Sobang, Pandeglang",PANDEGLANG,AVJUNSU 18 EC,Insektisida,500 ML,10.0 
2023,02.FEB,CV. Aneka Jaya Tunas Agro,WEST JAVA,AHLI TANI 13 (BPK MAHMUD),"Panimbang, Pandeglang",PANDEGLANG,ADORE 200 SC,Fungisida,250 ML,5.0 
